The text does not fit into our label scheme.,5,"[(13156, 0, 121), (13158, 2, 121), (13159, 3, 121), (11715, 3, 116), (11990, 3, 118)]"
"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice.",4,"[(11704, 0, 116), (11714, 2, 116), (11983, 0, 118), (11989, 2, 118)]"
The site collects your computer information for an unspecified purpose. Collection happens on the website.,1,"[(13157, 1, 121)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website for a user type outside of our label scheme.,1,"[(11984, 1, 118)]"
The site does not collect your generic personal information for an unspecified purpose. Collection happens when you implicitly provide information by other websites.,1,"[(11987, 1, 118)]"
The site does not collect your unspecified information for a purpose outside of our label scheme. Collection happens when you implicitly provide information in an unspecified way.,1,"[(11988, 1, 118)]"
The site collects your unspecified information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information on other websites.,1,"[(11986, 1, 118)]"
The site does not collect your website activities for a purpose outside of our label scheme. Collection happens on the website.,1,"[(11712, 1, 116)]"
The site collects your cookies or tracking elements for an additional (non-basic) service or feature. Collection happens when you implicitly provide information by some means outside of our label scheme.,1,"[(11710, 1, 116)]"
The site collects your computer information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(11707, 1, 116)]"
The site does not collect your contact information for an unspecified purpose. Collection happens when you implicitly provide information on the website.,1,"[(11708, 1, 116)]"
The site does not collect your generic personal information for a purpose outside of our label scheme. Collection happens on the website.,1,"[(11711, 1, 116)]"
The site does not collect your contact information for an unspecified purpose. Collection happens when you implicitly provide information on the website for a user type outside of our label scheme.,1,"[(11985, 1, 118)]"
